OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,SHAPE_Length,SHAPE_Area
444,Cedarview Montwell SSD,C,2504,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11313,Utah,Duchesne,Uintah,7/3/2013,Roosevelt Duchesne,314,92,46,4,8,34,222,84.5,24.7,12.4,1,2.2,9.1,59.8,0,0,0,0,58293.08386,101057127.7
445,Aspen Cove,C,223,https://waterlink.utah.gov/deqWater/reports.html?systemId=50,Utah,Carbon,West Colorado River,8/1/2001,Scofield,47,47,47,0,0,0,0,6.9,6.9,6.9,0,0,0,0,10.9,10.9,0,0,6923.106848,2228838.808
446,Taylor - West Weber WID,C,1653,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1286,Utah,Weber,Weber River,2/1/2009,East Shore,573,127,115,1,3,8,446,4998.7,1105.4,1001.7,5.2,26.6,71.9,3893.3,2313,2313,0,0,58332.92332,40439038.2
447,West Haven SSD,C,2544,http://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11296,Utah,Weber,Weber River,2/1/2009,East Shore,102,67,67,0,0,0,35,228.2,150.2,150.1,0,0,0,78.1,0,0,0,0,4213.74519,591921.59
448,Swan Creek Village,C,777,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11118,Utah,Rich,Bear River,1/1/2001,Bear Lake,1577,1577,1577,0,0,0,0,42.4,42.4,42.4,0,0,0,0,37.5,37.5,0,0,7121.542654,1298368.991
449,Pine Meadows PUD,C,2620,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11476,Utah,Uintah,Uintah,7/2/2003,Vernal,92,92,92,0,0,0,0,25.9,25.9,25.9,0,0,0,0,25.8,0,0,25.8,1320.818949,45827.3814
450,Waypoint Academy,C,2622,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Mgtview&SYSTEM_ID=11475,Utah,Weber,Weber River,2/1/2008,Ogden Valley,233,75,14,21,41,0,157,10.4,3.4,0.6,0.9,1.8,0,7,16,16,0,0,941.3346261,30409.35125
451,Pine View Homeowners Association,C,1702,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11553,Utah,Weber,Weber River,2/1/2008,Ogden Valley,161,161,161,0,0,0,0,1.4,1.4,1.4,0,0,0,0,4.8,4.8,0,0,1633.882802,173518.1232
452,Woodland Hills Subdivision,C,2621,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Mgtview&SYSTEM_ID=11471,Utah,Summit,Utah Lake,4/1/2006,Woodland,429,429,429,0,0,0,0,48.1,48.1,48.1,0,0,0,0,241,241,0,0,3634.147892,459618.4775
453,Pinion Forest SSD,C,2623,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11324,Utah,Duchesne,Uintah,7/3/2004,Starvation Reservoir,13,13,13,0,0,0,0,2,2,2,0,0,0,0,64.5,64.5,0,0,105860.4291,419893948.8
