OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotaGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,ResSecGPCD,ComSecGPCD,InsSecGPCD,IndSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,ResSecoUse,ComSecoUse,InsSecoUse,IndSecoUse,TotalSup,WellsSup,SpringsSup,SurfaceSup,SHAPE_Length,SHAPE_Area
73,Parowan City Water System,C,510,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1287,Utah,Iron,Cedar/Beaver,06-02-01,Parowan,530,111,95,16,0,0,419,419,0,0,0,1779.5,372.11,318.2,53.81,0,0.1,1407.39,1407.39,0,0,0,1016.72,887.76,128.96,0,37047.4821998185,20221369.3027825
74,Monticello City,C,914,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1295,Utah,San Juan,Southeast Colorado River,09-03-04,Monticello,185,84,49,20,13,2,101,53,0,48,0,423.5,192.78,111.75,46.5,30.25,4.28,230.72,121.62,0,109.1,0,1520,0,0,1520,28289.2225873334,15354420.8976384
75,Paragonah Town Water System,C,514,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1293,Utah,Iron,Cedar/Beaver,06-02-01,Parowan,356,144,141,0,2,0,212,181,0,31,0,203.35,81.98,80.79,0,1.2,0,121.37,103.68,0,17.68,0,177.55,0,177.55,0,9101.25544547642,1990771.03637975
76,Boulder Farmstead Water Co.,C,389,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1304,Utah,Garfield,West Colorado River,08-04-01,Boulder,382,305,245,21,38,0,77,77,0,0,0,102.73,82.01,65.97,5.76,10.21,0.08,20.72,20.72,0,0,0,201.12,144.63,56.49,0,49048.1075581827,87335457.5819417
77,Antimony Town Water System,C,388,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1382,Utah,Garfield,Sevier River,05-05-01,East Fork Sevier,890,890,424,86,109,271,0,0,0,0,0,133.59,133.59,63.66,12.94,16.32,40.68,0,0,0,0,0,279.36,0,279.36,0,44364.3360683028,50352437.4404495
78,Circleville Town Water System,C,744,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1184,Utah,Piute,Sevier River,05-06-03,Piute,494,494,494,0,0,0,0,0,0,0,0,262.68,262.68,262.68,0,0,0,0,0,0,0,0,225.06,181.59,43.47,0,35121.9630067298,46410072.7840161
79,Kingston Town Water System,C,746,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1182,Utah,Piute,Sevier River,05-06-03,Piute,400,228,228,0,0,0,172,143,0,29,0,80.65,45.9,45.9,0,0,0,34.75,28.88,0,5.87,0,112.99,80.71,32.28,0,25726.9746091231,22525697.5607115
80,Minersville Water System,C,4,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1187,Utah,Beaver,Cedar/Beaver,06-01-02,Milford,521,262,191,1,5,65,259,188,0,71,0,529.41,266.15,193.59,1.07,5.39,66.1,263.26,191.27,0,71.99,0,830.96,427.43,403.53,0,40627.938501782,19999961.5858737
81,Junction Town,C,743,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1016,Utah,Piute,Sevier River,05-06-03,Piute,920,370,193,46,0,131,550,550,0,0,0,175.19,70.5,36.72,8.85,0,24.93,104.7,104.7,0,0,0,194.61,73.55,121.06,0,35054.5193398494,57201230.4728017
82,Capitol Reef National Park,C,1613,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1354,Utah,Wayne,West Colorado River,08-03-07,Torrey,8017,220,220,0,0,0,7798,0,0,7798,0,179.61,4.92,4.92,0,0,0,174.69,0,0,174.69,0,15,15,0,0,4891.47344462498,676910.858881423
