OBJECTID,WRENAME,SYSTEMTYPE,WATERRESID,WRLINK,STATE,COUNTY,BASIN,SUBAREA,SUBAREANAM,TotalGPCD,TotPotGPCD,ResPotGPCD,ComPotGPCD,InsPotGPCD,IndPotGPCD,TotSecGPCD,TotalUse,TotPotaUse,ResPotaUse,ComPotaUse,InsPotaUse,IndPotaUse,TotSecoUse,TotPotaSup,PotaWelSup,PotaSprSup,PotaSurSup,Year,Region,SHAPE_Length,SHAPE_Area
109,Jensen WID,C,1261,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1120,Utah,Uintah,Uintah,7/2/2002,Big Brush Creek,141,141,107,15,15,4,0,236.2,236.2,179.7,25.1,24.8,6.6,0,0,0,0,0,2019,Green River,126729.0179,263695643.6
110,Alta Town Water System,C,825,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1348,Utah,Salt Lake,Jordan River,3/1/2007,Little Cottonwood Creek,189,189,16,126,0,47,0,81,81,6.8,54.1,0,20,0,238.2,238.2,0,0,2019,Salt Lake,19407.94914,11625131.33
111,Silver Lake Co.,C,822,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1373,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,302,295,187,108,0,0,6,27,26.5,16.8,9.7,0,0,0.6,81,0,81,0,2019,Salt Lake,5066.127971,946188.41
112,Sandy City Water System,C,808,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1084,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,191,186,140,21,25,0,5,20248,19748.8,14910.9,2234.8,2603.1,0,499.2,14400,14400,0,0,2019,Salt Lake,74277.05747,63741654.86
113,Midvale City Water System,C,798,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1093,Utah,Salt Lake,Jordan River,3/1/2001,Salt Lake Valley,117,116,68,47,1,0,1,4465.5,4427,2578,1793,50,6,38.5,2800,2800,0,0,2019,Salt Lake,24202.59094,13870001.38
114,Silver Fork Pipeline Corp.,C,809,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1374,Utah,Salt Lake,Jordan River,3/1/2006,Big Cottonwood Creek,194,194,191,3,0,0,0,27.1,27.1,26.7,0.4,0,0,0,62,62,0,0,2019,Salt Lake,4187.2,849066.88
115,Mantua Town Water System,C,51,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1297,Utah,Box Elder,Bear River,1/1/2007,Brigham City,341,261,247,4,9,0,80,344.2,263.1,248.9,4.3,9.5,0.4,81.1,907.9,827.2,80.7,0,2019,Bear River,21288.49251,14830041.18
116,Brigham City Corp.,C,38,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1228,Utah,Box Elder,Bear River,1/1/2007,Brigham City,493,438,225,73,71,68,55,11280.6,10023.4,5154.7,1670,1632.5,1566.2,1257.2,48256.8,6872.1,10976,30408.7,2019,Bear River,54244.78288,62649898.58
117,Fillmore Municipal Water System,C,658,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1003,Utah,Millard,Sevier River,5/7/2000,Fillmore,1127,372,119,126,76,51,755,3339,1102,353.1,374.7,224.2,150.1,2236.9,3526.8,2905.4,621.4,0,2019,Sevier River,26960.39592,19448844.1
118,Green River City,C,356,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1087,Utah,Emery,West Colorado River,8/5/2001,Upper Green River,401,174,54,85,35,0,227,474.5,205.9,63.3,101,41.6,0,268.6,1614.1,0,0,1614.1,2019,Upper Colorado River,61610.43782,37987312.65
119,Redmond Town Water System,C,1035,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1283,Utah,Sevier,Sevier River,5/3/2000,Sevier Bridge,241,170,149,1,9,10,71,222.7,156.9,137.8,0.9,8.8,9.5,65.8,542.6,542.6,0,0,2019,Sevier River,16225.20054,2748561.684
120,Axtell Community Service Distribution,C,1003,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=11352,Utah,Sanpete,Sevier River,5/3/2000,Sevier Bridge,533,189,189,0,0,0,344,152.1,53.9,53.9,0,0,0,98.2,242.1,0,242.1,0,2019,Sevier River,14547.24004,12022451.3
121,Castle Valley SSD - Ferron,C,355,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1385,Utah,Emery,West Colorado River,8/2/2003,Ferron Creek,80,80,74,4,2,0,0,149.5,149.5,139.8,6.8,2.9,0,0,403.5,0,0,403.5,2019,Upper Colorado River,26926.24554,6239763.262
122,Holden Town Water System,C,668,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1064,Utah,Millard,Sevier River,5/7/2000,Fillmore,947,576,420,1,101,54,371,488,296.6,216.4,0.4,52,27.8,191.4,481.5,0,481.5,0,2019,Sevier River,6499.295253,1598758.445
123,Mayfield Town Water System,C,974,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1083,Utah,Sanpete,Sevier River,5/1/2000,Gunnison,481,66,66,0,0,0,415,312.6,42.7,42.6,0,0.1,0,269.9,233.6,153.6,80,0,2019,Sevier River,13476.02009,2578376.614
124,Castle Valley SSD - Clawson Water System,C,353,https://www.waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1026,Utah,Emery,West Colorado River,8/2/2003,Ferron Creek,65,65,63,0,0,2,0,12.6,12.6,12.3,0,0,0.4,0,403.5,0,0,403.5,2019,Upper Colorado River,13556.96443,3104020.464
125,Centerfield Town Water System,C,969,http://waterrights.utah.gov/cgi-bin/wuseview.exe?Modinfo=Pwsview&SYSTEM_ID=1157,Utah,Sanpete,Sevier River,5/3/2000,Sevier Bridge,576,136,116,5,13,1,441,1010,237.6,202.5,9.2,23.3,2.5,772.4,724.5,0,724.5,0,2019,Sevier River,30589.65107,11777453.16
